Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,0.030531,0.030633,0.030516,0.030544,0.030544,0
2021-11-17,0.030556,0.030656,0.030459,0.030546,0.030546,0
2021-11-18,0.030647,0.030724,0.030609,0.030655,0.030655,0
2021-11-19,0.030694,0.030713,0.030492,0.030694,0.030694,0
2021-11-22,0.030482,0.030547,0.030286,0.030488,0.030488,0
2021-11-23,0.030266,0.030342,0.030157,0.030285,0.030285,0
2021-11-24,0.030185,0.030231,0.029940,0.030186,0.030186,0
2021-11-25,0.029952,0.030121,0.029922,0.029967,0.029967,0
2021-11-26,0.029913,0.029938,0.029647,0.029931,0.029931,0
2021-11-29,0.029799,0.030046,0.029603,0.029794,0.029794,0
2021-11-30,0.029709,0.029806,0.029584,0.029704,0.029704,0
2021-12-01,0.029700,0.029757,0.029612,0.029700,0.029700,0
2021-12-02,0.029665,0.029722,0.029506,0.029647,0.029647,0
2021-12-03,0.029539,0.029643,0.029420,0.029539,0.029539,0
2021-12-06,0.029584,0.029619,0.029490,0.029603,0.029603,0
2021-12-07,0.029560,0.029750,0.029507,0.029560,0.029560,0
2021-12-08,0.029753,0.029940,0.029735,0.029753,0.029753,0
2021-12-09,0.029913,0.029985,0.029780,0.029904,0.029904,0
2021-12-10,0.029789,0.029846,0.029669,0.029780,0.029780,0
2021-12-13,0.029886,0.030053,0.029815,0.030159,0.030159,0
2021-12-14,0.029931,0.030017,0.029895,0.029928,0.029928,0
2021-12-15,0.029922,0.029999,0.029897,0.029922,0.029922,0
2021-12-16,0.029944,0.029990,0.029867,0.029944,0.029944,0
2021-12-17,0.029931,0.030062,0.029913,0.029940,0.029940,0
2021-12-20,0.030045,0.030050,0.029744,0.030050,0.030050,0
2021-12-21,0.029754,0.029774,0.029625,0.029753,0.029753,0
2021-12-22,0.029787,0.029789,0.029560,0.029737,0.029737,0
2021-12-23,0.029810,0.029891,0.029700,0.029799,0.029799,0
2021-12-24,0.029832,0.029978,0.029824,0.029840,0.029840,0
2021-12-27,0.029960,0.029960,0.029780,0.029961,0.029961,0
2021-12-28,0.029843,0.029931,0.029797,0.029841,0.029841,0
2021-12-29,0.029845,0.029901,0.029780,0.029845,0.029845,0
2021-12-30,0.029855,0.030035,0.029854,0.029900,0.029900,0
2021-12-31,0.030003,0.030197,0.029984,0.030008,0.030008,0
2022-01-03,0.030189,0.030216,0.029976,0.030201,0.030201,0
2022-01-04,0.030082,0.030125,0.029979,0.030082,0.030082,0
2022-01-05,0.030095,0.030234,0.030048,0.030083,0.030083,0
2022-01-06,0.030101,0.030125,0.029771,0.030077,0.030077,0
2022-01-07,0.029804,0.029877,0.029652,0.029804,0.029804,0
2022-01-10,0.029773,0.029796,0.029645,0.029774,0.029774,0
2022-01-11,0.029781,0.030012,0.029748,0.029746,0.029746,0
2022-01-12,0.030055,0.030076,0.029886,0.030028,0.030028,0
2022-01-13,0.030069,0.030170,0.030007,0.030074,0.030074,0
2022-01-14,0.030120,0.030216,0.030057,0.030120,0.030120,0
2022-01-17,0.030153,0.030298,0.029994,0.030154,0.030154,0
2022-01-18,0.030241,0.030432,0.030184,0.030225,0.030225,0
2022-01-19,0.030216,0.030395,0.030093,0.030216,0.030216,0
2022-01-20,0.030386,0.030530,0.030254,0.030386,0.030386,0
2022-01-21,0.030379,0.030437,0.030230,0.030383,0.030383,0
2022-01-24,0.030348,0.030369,0.030230,0.030363,0.030363,0
2022-01-25,0.030332,0.030372,0.030230,0.030309,0.030309,0
2022-01-26,0.030296,0.030418,0.030257,0.030301,0.030301,0
2022-01-27,0.030207,0.030285,0.030027,0.030207,0.030207,0
2022-01-28,0.030043,0.030143,0.029903,0.030044,0.030044,0
2022-01-31,0.029940,0.030116,0.029878,0.029942,0.029942,0
2022-02-01,0.030126,0.030147,0.030049,0.030126,0.030126,0
2022-02-02,0.030151,0.030195,0.030084,0.030140,0.030140,0
2022-02-03,0.030198,0.030253,0.030120,0.030198,0.030198,0
2022-02-04,0.030230,0.030391,0.030211,0.030236,0.030236,0
2022-02-07,0.030361,0.030466,0.030221,0.030367,0.030367,0
2022-02-08,0.030331,0.030442,0.030276,0.030331,0.030331,0
2022-02-09,0.030455,0.030614,0.030377,0.030435,0.030435,0
2022-02-10,0.030572,0.030746,0.030525,0.030574,0.030574,0
2022-02-11,0.030569,0.030680,0.030514,0.030577,0.030577,0
2022-02-14,0.030593,0.030859,0.030591,0.030600,0.030600,0
2022-02-15,0.030863,0.030982,0.030826,0.030839,0.030839,0
2022-02-16,0.030915,0.031003,0.030836,0.030917,0.030917,0
2022-02-17,0.030986,0.031177,0.030979,0.030960,0.030960,0
2022-02-18,0.031148,0.031182,0.031075,0.031150,0.031150,0
2022-02-21,0.031121,0.031172,0.030979,0.031122,0.031122,0
2022-02-22,0.030997,0.031020,0.030803,0.031000,0.031000,0
2022-02-23,0.030846,0.031067,0.030798,0.030849,0.030849,0
2022-02-24,0.030979,0.031009,0.030423,0.030988,0.030988,0
2022-02-25,0.030750,0.030869,0.030668,0.030772,0.030772,0
2022-02-28,0.030588,0.030689,0.030519,0.030602,0.030602,0
2022-03-01,0.030649,0.030774,0.030553,0.030630,0.030630,0
2022-03-02,0.030575,0.030839,0.030525,0.030557,0.030557,0
2022-03-03,0.030815,0.030886,0.030647,0.030793,0.030793,0
2022-03-04,0.030714,0.030755,0.030551,0.030715,0.030715,0
